Statystyka ogólna w podziale na województwa;;;;
;;;;
;2019;;;
;Liczba Wypadkow;Liczba Zabitych;Liczba Rannych;Liczba Kolizji
WOJ. DOLNOŒL¥SKIE;1929;215;2275;42387
WOJ. KUJAWSKO-POMORSKIE;940;211;974;28466
WOJ. LUBELSKIE;1139;170;1233;20488
WOJ. LUBUSKIE;660;92;775;12071
WOJ. £ÓDZKIE;3351;239;4047;30228
WOJ. MA£OPOLSKIE;3136;176;3716;33861
WOJ. MAZOWIECKIE;3802;469;4391;70558
WOJ. OPOLSKIE;614;73;703;10841
WOJ. PODKARPACKIE;1481;157;1708;19031
WOJ. PODLASKIE;585;106;620;14069
WOJ. POMORSKIE;2297;160;2775;28616
WOJ. ŒL¥SKIE;2965;199;3561;58163
WOJ. ŒWIÊTOKRZYSKIE;1056;131;1241;13462
WOJ. WARMIÑSKO-MAZURSKIE;1218;103;1486;16223
WOJ. WIELKOPOLSKIE;3894;279;4566;35728
WOJ. ZACHODNIOPOMORSKIE;1221;129;1406;21262
Podusmowanie;30288;2909;35477;455454
